Va,Vb,Vc,Ia,Ib,Ic,Fault
310.4071056,-217.890808,-92.51629758,0.644889709,-0.371932106,-0.272957603,AB
332.8538971,-174.7110357,-158.1428614,0.697729919,-0.428812715,-0.268917204,AB
336.789473,-114.443266,-222.3462069,0.751465336,-0.489038334,-0.262427002,AB
330.5721527,-46.02176137,-284.5503914,0.808012713,-0.554462977,-0.253549736,AB
315.9406593,28.25711703,-344.1977764,0.868312988,-0.625942345,-0.242370644,AB
298.3485611,102.4053315,-400.7538926,0.932406576,-0.703409991,-0.228996585,AB
270.5814305,183.1308039,-453.7122344,1.000497443,-0.786942445,-0.213554999,AB
247.6034191,254.996302,-502.599721,1.072675551,-0.876483014,-0.196192537,AB
254.2285756,292.7518206,-546.9803961,1.143534024,-0.966460564,-0.17707346,AB
287.4218481,299.0373999,-586.459248,1.205081743,-1.048703759,-0.156377984,AB
330.4523943,290.2339472,-620.6863415,1.252090152,-1.117789761,-0.134300392,AB
372.8178475,276.5419658,-649.3598132,1.282668024,-1.171621072,-0.111046952,AB
411.5203847,260.7076963,-672.228081,1.296352921,-1.20951911,-0.08683381,AB
441.1561449,247.93568,-689.0918249,1.29371257,-1.231827689,-0.061884881,AB
467.3272416,232.4783878,-699.8056293,1.275461459,-1.239031745,-0.036429714,AB
478.5630896,225.7168289,-704.2799185,1.24236769,-1.231666439,-0.010701251,AB
454.5447268,247.9364192,-702.481146,1.199770795,-1.214837284,0.015066489,AB
400.8776297,293.5541683,-694.431798,1.154931587,-1.195572153,0.040640566,AB
335.9915143,344.2190429,-680.2105573,1.112018924,-1.177810244,0.06579132,AB
271.5223194,388.4290004,-659.9513199,1.071699334,-1.161993883,0.090294549,AB
210.7628703,423.0785466,-633.8414169,1.033194663,-1.14712819,0.113933527,AB
158.1920717,443.9275554,-602.1196271,0.99499379,-1.131494646,0.136500856,AB
108.8613392,456.2125469,-565.0738861,0.95562469,-1.113424852,0.157800161,AB
70.84995107,452.1892822,-523.0392333,0.914002731,-1.091650481,0.17764775,AB
60.4375407,415.9567658,-476.3943065,0.86563843,-1.061512593,0.195874163,AB
70.34835479,355.2093178,-425.5576726,0.804965,-1.017290469,0.212325469,AB
81.76530171,289.2191601,-370.9844618,0.729931375,-0.956795821,0.226864446,AB
83.46553571,229.696595,-313.1621307,0.642190409,-0.881562056,0.239371647,AB
73.43382239,179.1718684,-252.6056908,0.544868245,-0.794614455,0.24974621,AB
49.62055542,140.2324405,-189.852996,0.441571519,-0.699477966,0.257906448,AB
17.96410743,107.495894,-125.4600015,0.335691852,-0.599482094,0.263790241,AB
-25.45044142,85.44687796,-59.99643654,0.229907084,-0.497262429,0.267355345,AB
-92.30373712,86.34422898,5.959508133,0.129375514,-0.397955085,0.268579571,AB
-173.2967256,101.4702919,71.82643364,0.039761371,-0.307222093,0.267460723,AB
-249.033239,112.0088516,137.0243874,-0.036899249,-0.227117153,0.264016401,AB
-308.4947321,107.514746,200.9799861,-0.102161801,-0.15612192,0.258283721,AB
-350.5480167,87.41630824,263.1317084,-0.158805022,-0.091513786,0.250318808,AB
-374.9041322,51.96934328,322.9347889,-0.209643007,-0.030553109,0.240196116,AB
-387.8110743,7.945264651,379.8658096,-0.256937595,0.02892997,0.228007625,AB
-387.9853319,-45.44132474,433.4266567,-0.301884515,0.088022534,0.213861981,AB
-366.5945758,-116.5544302,483.149006,-0.347368722,0.149485132,0.19788359,AB
-333.1112104,-195.4873058,528.5985162,-0.396395366,0.216183846,0.180211519,AB
-305.632528,-263.7456312,569.3781592,-0.448465486,0.287467141,0.160998346,AB
-293.2600586,-311.8716117,605.1316703,-0.499853264,0.359444308,0.140408957,AB
-294.8516893,-340.695185,635.5468744,-0.546092939,0.427473716,0.118619223,AB
-307.9492637,-352.4091028,660.3583665,-0.583303014,0.487488452,0.095814562,AB
-325.1391796,-354.2104826,679.3496622,-0.608656635,0.536468184,0.072188451,AB
-345.0517621,-347.3028322,692.3545943,-0.620830515,0.57288956,0.047940955,AB
-373.9123125,-325.3466194,699.2589319,-0.617587222,0.594309969,0.023277253,AB
-402.4062075,-297.5953868,700.0015944,-0.596947897,0.598541839,-0.001593942,AB
-414.1028178,-280.4720727,694.5748905,-0.56032379,0.58678577,-0.026461979,AB
-402.0643763,-280.9603147,683.024691,-0.512044015,0.563159859,-0.051115844,AB
-369.7366917,-295.7136646,665.4503564,-0.456821454,0.532167253,-0.075345799,AB
-322.0910211,-319.9129321,642.0039532,-0.398387939,0.497333005,-0.098945065,AB
